htid	HTRecord	WWEnd ID	ISFDB ID	Title	Author	Year
mdp.39015037449595	3065453	24449	36809	The Secret of This Book	Brian W. Aldiss	1995
uc1.32106011480982	3065453	24449	36809	The Secret of This Book	Brian W. Aldiss	1995
uc1.32106007982744	7116423	24472	36920	Unaccompanied Sonata and Other Stories	Orson Scott Card	1981
mdp.39015034261498	2985152	24476	30392	Rude Astronauts	Allen Steele	1992
mdp.39015029274365	2618218	24481	39305	The Sons of Noah & Other Stories	Jack Cady	1992
mdp.39015029088732	2784329	24483	1238428	A Tupolev Too Far and Other Stories	Brian W. Aldiss	1993
mdp.39015033971493	2970930	24484	37237	The Breath of Suspension	Alexander Jablokov	1994
uc1.b4368833	6227371	24506	36952	Far From Home	Walter Tevis	1981
mdp.49015000301383	4412015	24510	30489	Seasons in Flight	Brian W. Aldiss	1984
uc1.b3739768	6706202	24510	30489	Seasons in Flight	Brian W. Aldiss	1984
uc1.32106007091025	7119130	24512	39276	Signs & Portents	Chelsea Quinn Yarbro	1984
mdp.49015000491507	4431205	24523	37384	The Blood Kiss	Dennis Etchison	1988
mdp.49015001042655	4486910	24527	39261	Best of Beaumont	Charles Beaumont	1982
mdp.39015014369063	1303817	24548	36925	The Complete Robot	Isaac Asimov	1982
mdp.39015020691203	762755	24548	36925	The Complete Robot	Isaac Asimov	1982
mdp.39015013433746	723236	24551	37808	The Science Fiction of Mark Clifton	Mark Clifton	1980
mdp.39015021570927	196099	24552	26968	The Winds of Change and Other Stories	Isaac Asimov	1983
uva.x000312344	102053878	24562	25206	Agent of Vega	James H. Schmitz	1960
mdp.49015000109018	4392719	24563	37942	And the Gods Laughed	Fredric Brown	1987
mdp.39015019656449	2437398	24608	37385	Houses Without Doors	Peter Straub	1990
mdp.39015019554131	2238344	24609	37685	War Fever	J. G. Ballard	1990
mdp.39015058799951	3903278	24621	37501	Daughter of Regals and Other Tales	Stephen R. Donaldson	1984
mdp.39015012858406	362826	24622	39277	Watchers at the Strait Gate	Russell Kirk	1984
mdp.39015041007413	3159420	24627	39308	Schismatrix Plus	Bruce Sterling	1996
mdp.39015010233925	104493	24649	37351	Soldier Boy	Michael Shaara	1982
mdp.39015014279775	940119	24650	27457	Blood and Water and Other Tales	Patrick McGrath	1988
uc1.b4975963	940119	24650	27457	Blood and Water and Other Tales	Patrick McGrath	1988
mdp.39015029191478	2604234	24651	31353	The Collected Stories of Robert Silverberg: Volume 1: Secret Sharers	Robert Silverberg	1992
mdp.49015001393561	4523208	24651	31353	The Collected Stories of Robert Silverberg: Volume 1: Secret Sharers	Robert Silverberg	1992
pst.000021311574	7490923	24654	222371	Best SF Stories of Brian W. Aldiss (1988 edition)	Brian W. Aldiss	1988
mdp.39015042558497	3493485	24655	34453	Millennial Women	Virginia Kidd	1978
mdp.39015019794885	201794	24656	34317	Interfaces	Virginia Kidd & Ursula K. Le Guin	1980
mdp.49015003276707	5937897	24685	36532	Mars Probes	Peter Crowther	2002
pst.000007409189	12268541	24709	35540	Alpha Two	Robert Silverberg	1971
pst.000007409172	12268541	24712	34074	Alpha 5	Robert Silverberg	1974
mdp.39015014321247	205962	24717	33478	The Fantasy Hall of Fame	Martin H. Greenberg & Robert Silverberg	1983
inu.39000013183947	7593851	24720	33443	Edges	Virginia Kidd & Ursula K. Le Guin	1980
pst.000007408991	12255575	24722	36106	The Year's Best Horror Stories, No. 1	Richard Davis	1971
pst.000007408786	12255575	24726	33663	The Year's Best Horror Stories: Series V	Gerald W. Page	1977
mdp.49015002054766	4533310	24742	33679	The Year's Best Horror Stories: XXI	Karl Edward Wagner	1993
mdp.39015064952388	5576005	24757	785149	Land of the Headless	Adam Roberts	2007
mdp.39015050742256	4180365	24764	1348700	The Leto Bundle	Marina Warner	2001
pst.000012691074	7057013	24771	22821	Nightwatch	Andrew M. Stephenson	1977
pst.000026251400	7056998	24785	5145	The Ceres Solution	Bob Shaw	1981
mdp.39015010415951	764570	24839	1122065	A Treasury of Modern Fantasy	Terry Carr & Martin H. Greenberg	1981
mdp.39015053247345	340508	24842	34832	Habitats	Susan Shwartz	1984
uc1.b3462023	6304684	24880	12796	In Our Hands, the Stars	Harry Harrison	1970
inu.30000029304528	6058828	24883	12303	It Can't Happen Here	Sinclair Lewis	1935
mdp.39015003665430	628757	24883	12303	It Can't Happen Here	Sinclair Lewis	1935
mdp.39015008493556	628757	24883	12303	It Can't Happen Here	Sinclair Lewis	1935
pst.000024620321	9441481	24883	12303	It Can't Happen Here	Sinclair Lewis	1935
uc1.32106018097110	7146202	24883	12303	It Can't Happen Here	Sinclair Lewis	1935
uc1.b3711236	628757	24883	12303	It Can't Happen Here	Sinclair Lewis	1935
uc1.b4091324	628757	24883	12303	It Can't Happen Here	Sinclair Lewis	1935
mdp.39015069362302	5571602	24899	1149829	Dance Dance Revolution: Poems	Cathy Park Hong	2007
